id,token_id,title,categories,text_first_category,image_first_category
4,374,373 crash out,,wallet,
5,373,372 sharehold to earn,rewards,wallet,
6,372,371 payment tumbler,payments|privacy,privacy,privacy
7,371,370 fund wallet alternative,,wallet,
8,370,369 bagtective,agents|messaging|payments|trading,agents,trading
9,369,368 $trump mining,payments,payments,payments
10,368,367 buy with apple cash,payments,payments,payments
11,367,366 people to follow,social,social,identity
12,366,365 ai swap,agents|messaging|trading,agents,trading
13,365,364 question,,wallet,
14,364,363 payment instructions,agents|payments,agents,agents
15,363,362 model selection,agents,agents,agents
16,362,361 congestion,,wallet,
17,361,360 llm on hover,agents|wallet,agents,agents
18,360,359 ai listing,agents|trading,agents,trading
19,359,358 hinge rose,art,wallet,art
20,358,357 phanny,agents,agents,agents
21,357,356 instruct,agents|trading,agents,trading
22,356,355 LLM NFT search,agents,agents,agents
23,355,354 agent filtering,agents|invest,agents,agents
24,354,353 swarm discovery,agents|trading,agents,trading
25,353,352 chat bubble swap,messaging|trading,trading,trading
26,352,351 agent in your portfolio,agents|invest,agents,agents
27,351,350 explore agents,agents|social,agents,agents
28,350,349 wrapped,identity|messaging,identity,identity
29,349,348 quick question,,wallet,
30,348,347 speaker token,gating,gating,gating
31,347,346 broadcasts,messaging|social|wallet,social,identity
32,346,345 onions app,identity,identity,identity
33,345,344 reward thing,rewards|trading,trading,trading
34,344,343 emotional return protocol,,wallet,
35,343,342 circle atm,invest,wallet,invest
36,341,340 generate ui,,wallet,
37,340,339 token gated compute,gating|privacy,gating,gating
38,339,338 trial period,,wallet,
39,338,337 songcoin,rewards,wallet,
40,337,336 safenet purchase,payments,payments,payments
41,336,335 og eth users,identity,identity,identity
42,335,334 email attachment,,wallet,
43,334,333 watch island,trading,trading,trading
44,333,332 ask mode,trading,trading,trading
45,332,331 trend token,gating,gating,gating
46,331,330 reactionary pricing,,wallet,
47,330,329 not comic sans,,wallet,
48,329,328 de-flix,agents,agents,agents
49,328,327 headline coins,,wallet,
51,327,326 shuhai,social|trading,trading,trading
52,326,325 fontcoin theme,trading,trading,trading
53,325,324 font-fi,,wallet,
58,324,323 graduate,,wallet,
60,323,322 quit button,,wallet,
64,322,321 tinder.fun,,wallet,
65,321,320 expanded swap,trading,trading,trading
66,320,319 crypto translate,,wallet,
67,319,318 comicbase,,wallet,
68,318,317 religion,,wallet,
69,317,316 agent auto-populate,agents,agents,agents
71,316,315 moon bag,gating|trading,gating,gating
72,315,314 incoming,,wallet,
73,314,313 battle screen,,wallet,
74,313,312 review victims,gating|social,gating,gating
75,312,311 dock,,wallet,
76,311,310 share modal,,wallet,
